gapdh actb il8 il6 ccl11 col1a1 nanog sox9 eef2 spp1 runx1 pdl1
690 1554 3 4 6 356 0 59 592 58 0 3
1123 2112 7 20 7 301 3 44 869 156 0 2
539 685 1 19 2 133 3 11 502 20 0 8
707 1176 1 13 4 344 2 30 601 28 2 3
567 817 0 32 4 498 2 19 767 28 3 6
1139 1628 4 67 8 881 1 46 1156 43 1 26
870 1553 4 22 13 113 3 15 593 28 1 16
534 822 5 27 5 83 2 13 616 17 0 8
1257 3025 4 130 16 915 1 35 1055 132 2 19
802 1870 3 61 8 943 2 40 923 39 3 6
1146 1731 5 18 7 91 1 47 792 32 4 49
1158 2025 2 36 10 501 4 31 885 33 0 9
696 1226 2 305 10 498 2 36 988 50 0 64
1664 2974 6 32 15 620 3 41 585 17 1 26
1047 1918 8 47 10 536 0 31 942 36 3 24
1117 1900 11 32 11 261 1 36 768 38 1 16
923 1073 6 19 3 4 0 27 558 30 3 11
892 1331 6 18 2 11 0 12 612 23 3 8
871 1079 12 57 4 128 0 23 613 30 0 10
